Unnamed: 0,date,words,meaning,example,classes,last_changes_of_class,date_becoming,recalling
0.0,2022-12-28,rate                     , the measurment of the speed,"At the rate you work, you'll never finish!",5,2024-05-23,2222-02-02,0
1.0,2022-12-28,sheet                    , a large piece of thin cloth used on a bed to lie on or lie under,Have you changed the sheets,5,2024-05-23,2222-02-02,1
2.0,2022-12-28,accommodation            ," a place to live, work or stay in",Hotel accommodation is included in the price of your holiday.,5,2024-05-23,2222-02-02,2
3.0,2022-12-28,bride                    , a woman on her wedding day,a toast to the bride and groom,5,2024-05-23,2222-02-02,0
4.0,2022-12-28,bury                     , to hide something in the ground,They killed her and buried her body,5,2024-05-23,2222-02-02,1
5.0,2022-12-28,charge                   , duty or amount of money,do you charge for a haircut and blow-dry?,5,2024-05-23,2222-02-02,2
6.0,2022-12-28,commercial               ,connected with the buying and selling of goods and services,residential and commercial properties,5,2024-05-23,2222-02-02,2
7.0,2022-12-28,confirm                  ,to state or show that something is definitely true,to confirm a diagnosis/report,5,2024-05-23,2222-02-02,0
8.0,2022-12-28,consume                  ,to eat or drink something or to use something,The electricity industry consumes large amounts of fossil fuels,5,2024-05-23,2222-02-02,1
9.0,2022-12-28,convince                 ,to make somebody/yourself believe that something is true,I'd be very surprised if this argument convinces anybody,5,2024-05-23,2222-02-02,0
10.0,2022-12-28,cruel                    ,causing physical or mental pain and making somebody suffer,He was known to be a cruel dictator.,5,2024-05-23,2222-02-02,1
11.0,2022-12-28,currency                 ,the system of money that a country uses,trading in foreign currencies,5,2024-05-23,2222-02-02,1
12.0,2022-12-28,fancy                    ,to want something or want to do something,Do you fancy going out this evening?,5,2024-05-23,2222-02-02,2
13.0,2022-12-28,priest                   ,a person who is qualified to perform religious duties and,priest cries in the church,5,2024-05-23,2222-02-02,2
14.0,2022-12-28,promote                ,"to help sell a product, service, etc. or make it more popular by advertising it or offering it",serviece of promotion,5,2024-05-23,2222-02-02,0
15.0,2022-12-28,reliable ,that can be trusted to do something well,We are looking for someone who is reliable and hard-working,5,2024-05-23,2222-02-02,2
16.0,2022-12-28, revise ,"to change your opinions or plans, for example because of something you have learned",I can see I will have to revise my opinions of his abilities now,5,2024-05-23,2222-02-02,-1
17.0,2022-12-28,shell                    ,"the hard outer part of eggs, nuts, some seeds, and some animals",earrings made out of coconut shell,5,2024-05-23,2222-02-02,-1
18.0,2022-12-28,shift                    ,"a change in opinion, mood, policy/ period of work",do not let them shift your mind/kirill worked night shift,5,2024-05-23,2222-02-02,0
19.0,2022-12-28,soil                     ,"the top layer of the earth in which plants, trees, etc. grow","this is nice soil, bury",5,2024-05-23,2222-02-02,0
20.0,2022-12-28,tend                     ,to be likely to do something or to happen in a particular way because this is what often or usually happens,"Women tend to live longer than men/When I'm tired, I tend to make mistakes.",5,2024-05-23,2222-02-02,0
21.0,2022-12-28,tin                      ,a closed metal container in which food is sold:,"a tin of beans
piles of soup tins/ father ear tins when he was in the army",5,2024-05-23,2222-02-02,1
22.0,2022-12-28,weigh                    ,to have a particular weight,She weighs 60 kilos,5,2024-05-23,2222-02-02,0
23.0,2022-12-28,absorb                   ,"to take something in, especially gradually:",Plants absorb carbon dioxide.,5,2024-05-23,2222-02-02,-1
24.0,2022-12-28,accent  ,b2a way of pronouncing the words,she has french accent,5,2024-05-23,2222-02-02,0
25.0,2022-12-28,accountant               ,a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.,5,2024-05-23,2222-02-02,0
26.0,2022-12-28,accuse,to say that somebody has done something wrong or is guilty of something,accuse somebody of murder/a crime,5,2024-05-23,2222-02-02,2
27.0,2022-12-28,acquire ,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English,5,2024-05-23,2222-02-02,1
28.0,2022-12-28,adopt   ,to take somebody else’s child into your family and become its legal parent(s) / to formally accept a suggestion or policy by voting,The police adopted tighter security measures. / She was forced to have her baby adopted.,5,2024-05-23,2222-02-02,0
29.0,2022-12-28,affair                   ,"events that are of public interest or political importance / a sexual relationship between two people, usually when one or both of them are already in a relationship with somebody else / an object that is unusual or difficult to describe",world/international affairs / It's the story of a secret affair between a married teacher and her teenage student,5,2024-05-23,2222-02-02,2
30.0,2022-12-28,shore                  ,"the land along the edge of the sea, the ocean or a lake",on the shore Rubbish of all sorts is washed up on the shore.,5,2024-05-23,2222-02-02,1
31.0,2022-12-28,sincere                  ,showing what you really think or feel,a sincere apology,5,2024-05-23,2222-02-02,1
32.0,2022-12-28,spare                    ,available to do what you want with rather than work/ not used/needed,"He's studying music in his spare time/We've got a spare bedroom, if you'd like to stay",5,2024-05-23,2222-02-02,1
33.0,2022-12-28,spectacular           ,very impressive,Messi scored a spectacular goal,5,2024-05-23,2222-02-02,1
34.0,2022-12-28,spill                    ,to flow over the edge of a container by accident; to make liquid do this,Water had spilled out of the bucket onto the floor,5,2024-05-23,2222-02-02,2
35.0,2022-12-28,spite                    ,a feeling of wanting to hurt or upset somebody,I'm sure he only said it out of spite,5,2024-05-23,2222-02-02,-1
36.0,2022-12-28,stable                   ,"fixed or steady; not likely to move, change or fai",This ladder doesn't seem very stable,5,2024-05-23,2222-02-02,1
37.0,2022-12-28,stall  ,"a table or small shop with an open front that people sell things from, especially at a market",They have a fish stall on the market.,5,2024-05-23,2222-02-02,2
38.0,2022-12-28,stiff                    ,difficult to bend/move OR / not friendly,The windows were stiff and she couldn't get them open,5,2024-05-23,2222-02-02,1
39.0,2022-12-28,suburb                 ,an area where people live that is outside the centre of a city,We drove from middle-class suburbs to a very poor inner-city area,5,2024-05-23,2222-02-02,2
40.0,2022-12-28,sufficient ,enough for a particular purpose; as much as you need,Allow sufficient time to get there,5,2024-05-23,2222-02-02,0
,2022-12-29,suspend                  ,to officially stop something or somebody for a time/to hang something from something else,Production has been suspended while safety checks are carried out/A lamp was suspended from the ceiling.,5,2024-05-23,2222-02-02,2
,2022-12-29,sweep                    ,to clean a room/push something with a lot of force,to sweep the floor/ the little boat was swept out to sea,5,2024-05-23,2222-02-02,2
,2022-12-29,tackle                   ,to make a determined effort to deal with a difficult problem or situation,Firefighters tackled a blaze in a garage last night,5,2024-05-23,2222-02-02,1
,2022-12-29,tale ,a story,The story is a classic tale of love and betrayal.,5,2024-05-23,2222-02-02,1
,2022-12-29,tension                  ,"a situation in which people do not trust each other, or feel unfriendly",Family tensions and conflicts may lead to violence,5,2024-05-23,2222-02-02,2
,2022-12-29,thorough                 ,done completely; with great attention to detail,a thorough knowledge of the subject,5,2024-05-23,2222-02-02,2
,2022-12-29,tissue                   ,"a piece of soft paper, used especially as a handkerchief",a box of tissues,5,2024-05-23,2222-02-02,1
,2022-12-29,trace       ,to find or discover somebody/something by looking carefully for them/it  OR / gentally touch,We finally traced him to an address in Chicago /She lightly traced the outline of his face with her finger,5,2024-05-23,2222-02-02,0
,2022-12-30,trait                    ,a particular quality in your personality,Arrogance is a very unattractive personality/character trait.,5,2024-05-23,2222-02-02,1
,2022-12-30,trial                    ,"to decide if somebody accused of a crime is guilty or not / the process of testing the ability, quality / competitions", on trial He's on trial for murder./ She agreed to employ me for a trial period./Olympic trials,5,2024-05-23,2222-02-02,0
,2022-12-30,tribe                   ,"a group or class of people, especially of one profession",He had a sudden outburst against the whole tribe of actors,5,2024-05-23,2222-02-02,-1
,2022-12-30,tune                     ,a series of musical notes that are sung or played in a particular order to form a piece of music,I can play a few tunes on the piano.,5,2024-05-23,2222-02-02,0
,2022-12-30,ultimate                 ,"happening at the end of a long process/most extreme; best, worst, greatest, most important, etc.",We will accept ultimate responsibility for whatever happens./This race will be the ultimate test of your skill,5,2024-05-23,2222-02-02,1
,2022-12-30,undergo                ,"to experience something, especially a change or something unpleasant",Some children undergo (complete transformation when they become teenagers.),5,2024-05-23,2222-02-02,1
,2022-12-30,undertake            ,to make yourself responsible for something and start doing it,to undertake a task/project,5,2024-05-23,2222-02-02,2
,2022-12-30,unfold                  , to become open and flat,to unfold a map,5,2024-05-23,2222-02-02,1
,2022-12-30,urge              ,to advise or try hard to persuade somebody to do something," urge somebody to do something If you ever get the chance to visit this place, I strongly urge you to do so.",5,2024-05-23,2222-02-02,0
,2022-12-30,vary,"to be different from each other in size, shape, etc.",New techniques were introduced with varying degrees of success.,5,2024-05-23,2222-02-02,2
,2022-12-31,venue                    ,the place where a public event or meeting happens:,The hotel is an ideal venue for conferences and business meetings.,5,2024-05-23,2222-02-02,1
,2022-12-31,wage                     ,"a regular amount of money that you earn, usually every week or every month, for work or services",a weekly wage of £300,5,2024-05-23,2222-02-02,1
,2022-12-31,wander                   ,"to walk slowly around or to a place, often without any particular sense of purpose or direction",We wandered back towards the car.,5,2024-05-23,2222-02-02,2
,2022-12-31,wealth                   ,"a large amount of money, property, etc. that a person or country owns",the desire to gain wealth and power,5,2024-05-23,2222-02-02,0
,2022-12-31,welfare                  ,"the general health, happiness and safety of a person, an animal or a group",We are concerned about the child's welfare.,5,2024-05-23,2222-02-02,0
,2022-12-31,wheat                    ,"a plant whose yellowish-brown grain is used for making flour, or the grain itself:",wheat flour,5,2024-05-23,2222-02-02,0
,2022-12-31,wound                    ,"an injury to part of the body, especially one in which a hole is made in the skin using a weapon",a bullet/knife/shrapnel wound,5,2024-05-23,2222-02-02,0
,2022-12-31,wrist                    ,the joint between the hand and the arm,She's broken her wrist.,5,2024-05-23,2222-02-02,2
,2022-12-31,abolish     ,to end an activity or custom officially:,I think bullfighting should be abolished.,5,2024-05-23,2222-02-02,1
,2023-01-03,massacre,the killing of a large number of people especially in a cruel way,the bloody massacre of innocent civilians,5,2024-05-23,2222-02-02,0
,2023-01-03,liable,legally responsible for paying the cost of something / likely to do something,You will be liable for any damage caused. / We're all liable to make mistakes when we're tired.,5,2024-05-23,2222-02-02,2
,2023-01-03,attain,"to succeed in getting something, usually after a lot of effort",Most of our students attained five ‘A’ grades in their exams.,5,2024-05-23,2222-02-02,-1
,2023-01-03,footage,part of a film showing a particular event,old film footage of the moon landing,5,2024-05-23,2222-02-02,0
,2023-01-03,disturbing,making you feel anxious and upset or shocked,a disturbing piece of news,5,2024-05-23,2222-02-02,2
,2023-01-03,allegedly,expressed as though something is a fact but without giving any proof,crimes allegedly committed during the war,5,2024-05-23,2222-02-02,2
,2023-01-03,compelling,that makes you pay attention to it because it is so interesting and exciting,Her latest book makes compelling reading,5,2024-05-23,2222-02-02,0
,2023-01-03,niche,"a comfortable or suitable role, job, way of life, etc",He eventually found his niche in sports journalism.,5,2024-05-23,2222-02-02,-1
,2023-01-03,devastate,to completely destroy a place or an area,The bomb devastated much of the old part of the city.,5,2024-05-23,2222-02-02,1
,2023-01-03,unveil,"to show or introduce a new plan, product, etc. to the public for the first time",The government has unveiled plans for new energy legislation.,5,2024-05-23,2222-02-02,1
,2023-01-03,lap,the top part of your legs that forms a flat surface when you are sitting down,you'll have to sit on my lap.,5,2024-05-23,2222-02-02,1
,2023-01-04,stir,"mix / to move, or to make something move, slightly / to make somebody excited or make them feel something strongly",She stirred her tea. / She heard the baby stir in the next room. / It's a book that really stirs the imagination,5,2024-05-23,2222-02-02,-1
,2023-01-04,preservation,the act of keeping something in its original state or in good condition,building/environmental/food preservation,5,2024-05-23,2222-02-02,0
,2023-01-04,spouse,a husband or wife,Fill in your spouse’s name here.,5,2024-05-23,2222-02-02,0
,2023-01-04,utility,"a service provided for the public, for example an electricity, water or gas supply",a privatized electricity utility,5,2024-05-23,2222-02-02,0
,2023-01-04,verse,a group of lines that form a unit in a poem or song,"
a hymn with six verses",5,2024-05-23,2222-02-02,0
,2023-01-04,venture,"a business project or activity, especially one that involves taking risks",A disastrous business venture lost him thousands of dollars.,5,2024-05-23,2222-02-02,-1
,2023-01-04,contractor,a person or company that has a contract to do work or provide goods or services for another company,a building/roofing/electrical contractor,5,2024-05-23,2222-02-02,-1
,2023-01-04,weave,"c1[transitive, intransitive]to make cloth, a carpet, a basket, etc. by crossing threads or narrow pieces of material across, over and under each other by hand or on a machine called a loom",Most spiders weave webs that are almost invisible.,5,2024-05-23,2222-02-02,-1
,2023-01-04,refusal,"an act of saying or showing that you will not do, give or accept something",the refusal of a request/an invitation/an offer,5,2024-05-23,2222-02-02,0
,2023-01-04,interfere,"to get involved in and try to influence a situation that should not really involve you, in a way that annoys other people",I wish my mother would stop interfering and let me make my own decisions.,5,2024-05-23,2222-02-02,2
,2023-01-04,chronic,c1lasting for a long time; difficult to cure,chronic bronchitis/arthritis/asthma,5,2024-05-23,2222-02-02,0
,2023-01-07,preach,"to give a religious talk in a public place, especially in a church during a service",She preached to the congregation about forgiveness,5,2024-05-23,2222-02-02,2
,2023-01-07,adoption,"the decision to start using something such as an idea, a plan or a name",The committee recommended the adoption of new safety procedures.,5,2024-05-23,2222-02-02,2
,2023-01-07,pond,"a small area of still water, especially one that is artificial",a fish pond,5,2024-05-23,2222-02-02,2
,2023-01-07,subscription,"an amount of money that you pay regularly to receive a service, be a member of a club, support a charity or receive regular copies of a newspaper or magazine; the act of paying this money",an annual subscription,5,2024-05-23,2222-02-02,0
,2023-01-07,desirable,that you would like to have or do; worth having or doing,She chatted for a few minutes about the qualities she considered desirable in a secretary,5,2024-05-23,2222-02-02,2
,2023-01-07,plea,"a serious emotional request, especially for something needing action now",plea for something She made an impassioned plea for help,5,2024-05-23,2222-02-02,0
,2023-01-07,parental,connected with a parent or parents,parental responsibility/rights,5,2024-05-23,2222-02-02,2
,2023-01-07,outing,"a trip that you go on for pleasure or education, usually with a group of people and lasting no more than one day",a family outing,5,2024-05-23,2222-02-02,0
,2023-01-07,carriage,a separate section of a train for carrying passengers,a railway carriage,5,2024-05-23,2222-02-02,0
,2023-01-07,feat,"an action or a piece of work that needs skill, strength or courage",The tunnel is a remarkable feat of engineering.,5,2024-05-23,2222-02-02,0
,2023-01-07,rear,at the back of something:,There's a sticker on the rear door/window.,5,2024-05-23,2222-02-02,-1
,2023-01-07,probe,a complete and careful investigation of something,a police probe into the financial affairs of the company,5,2024-05-23,2222-02-02,0
,2023-01-07,accordance,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,5,2024-05-23,2222-02-02,1
,2023-01-07,congregation ,"a group or collection of people, animals or things",Large congregations of birds may cause public harm.,5,2024-05-23,2222-02-02,2
,2023-01-08,overlook,"to fail to see or notice something/to see something wrong or bad but decide to ignore it/if a building, etc. overlooks a place, you can see that place from the building",He seems to have overlooked one important fact./We could not afford to overlook such a serious offence./a restaurant overlooking the lake,5,2024-05-23,2222-02-02,0
,2023-01-08,pit,a large deep hole in the ground,We dug a deep pit in the yard.,5,2024-05-23,2222-02-02,2
,2023-01-08,humble,showing you do not think that you are as important as other people,Be humble enough to learn from your mistakes.,5,2024-05-23,2222-02-02,0
,2023-01-08,prescribe,"to tell somebody to take a particular medicine or have a particular treatment; to write a prescription for a particular medicine, etc.",prescribe something Valium is usually prescribed to treat anxiety.,5,2024-05-23,2222-02-02,0
,2023-01-08,genocide,"the murder of a large number of people from a particular nation or ethnic group, with the aim of destroying that nation or group",Refugees gave accounts of the mass genocide.,5,2024-05-23,2222-02-02,0
,2023-01-08,rifle,a gun with a long barrel which you hold to your shoulder to fire,a hunting rifle,5,2024-05-23,2222-02-02,0
,2023-01-08,kidney,either of the two organs in the body that remove waste products from the blood and produce urine,a kidney infection,5,2024-05-23,2222-02-02,0
,2023-01-08,interim,intended to last for only a short time until somebody/something more permanent is found,an interim government/measure/report,5,2024-05-23,2222-02-02,0
,2023-01-08,flee,"to leave a person or place very quickly, especially because you are afraid of possible danger",She burst into tears and fled.,5,2024-05-23,2222-02-02,0
,2023-01-08,capability,the ability or qualities necessary to do something,Age affects the range of a person's capabilities.,5,2024-05-23,2222-02-02,0
,2023-01-08,benchmark,a level of quality that can be used as a standard when comparing other things:,Tests at the age of seven provide a benchmark against which the child's progress at school can be measured.,5,2024-05-23,2222-02-02,1
